iter,P,R,T,missing_mse,run_time
0,5,2,40,88.04118878202567,0
0,5,2,60,150.40445422485348,0
0,5,2,80,146.39855477772954,0
0,5,2,100,193.84208485053242,0
0,5,2,120,200.38352270519624,0
0,5,2,140,217.233111716285,0
0,5,2,40,56.70791018304758,0
0,5,2,60,95.39201330576326,0
0,5,2,80,91.03006994283567,0
0,5,2,100,119.17891274368537,0
0,5,2,120,124.58863683875117,0
0,5,2,140,139.65075550988533,0
0,5,2,40,48.238313302611346,0
0,5,2,60,79.34922667343454,0
0,5,2,80,75.16130982735183,0
0,5,2,100,97.79935337671421,0
0,5,2,120,103.0643039784084,0
0,5,2,140,118.56033501584378,0
0,5,3,40,116.43345915601725,0
0,5,3,60,149.88080101290552,0
0,5,3,80,204.46329655177607,0
0,5,3,100,228.88170100918134,0
0,5,3,120,240.44589492048985,0
0,5,3,140,241.9784087243556,0
0,5,3,40,73.92666849388624,0
0,5,3,60,93.92620689725842,0
0,5,3,80,128.122427829454,0
0,5,3,100,142.87724061607332,0
0,5,3,120,144.39106639893646,0
0,5,3,140,153.40499002367048,0
0,5,3,40,61.81462091455729,0
0,5,3,60,78.11827142690582,0
0,5,3,80,106.7964169532695,0
0,5,3,100,117.8270685910702,0
0,5,3,120,117.04614762339305,0
0,5,3,140,128.71049919645304,0
0,5,4,40,146.63394770312155,0
0,5,4,60,156.49233735209944,0
0,5,4,80,221.2611628561613,0
0,5,4,100,234.91520081975466,0
0,5,4,120,283.08451078592594,0
0,5,4,140,292.72276967314554,0
0,5,4,40,85.44718656643913,0
0,5,4,60,96.48768045896894,0
0,5,4,80,135.78961809803366,0
0,5,4,100,145.72030413625149,0
0,5,4,120,170.84876890221327,0
0,5,4,140,182.89646483856075,0
0,5,4,40,68.26409455189638,0
0,5,4,60,79.0910687252586,0
0,5,4,80,111.49428446802625,0
0,5,4,100,120.53679379042813,0
0,5,4,120,138.1608982356392,0
0,5,4,140,151.33648216519555,0
